id,courseId,enrollmentDate,completionStatus,completionDate,lastUpdated,percentage,userId,learningPathId
91,6,2022-09-17,Completed,2024-03-01,2024-10-14,63,EMP0614,
92,25,2022-05-25,Completed,2023-09-20,2024-10-14,57,EMP0325,
93,19,2020-09-22,Completed,2021-01-24,2024-10-14,60,EMP0204,
94,35,2024-03-27,Completed,2024-09-05,2024-10-14,91,EMP0958,
95,22,2023-05-25,Completed,2024-02-01,2024-10-14,89,EMP0865,
96,26,2024-07-02,In Progress,,2024-10-14,49,EMP0160,
97,49,2022-01-21,In Progress,,2024-10-14,20,EMP0076,8
98,47,2022-10-13,In Progress,,2024-10-14,30,EMP0143,7
99,36,2022-06-11,Completed,2023-09-17,2024-10-14,63,EMP0942,
100,3,2019-11-04,In Progress,,2024-10-14,38,EMP0548,
101,2,2020-06-14,Completed,2023-12-01,2024-10-14,53,EMP0044,
102,2,2020-04-14,In Progress,,2024-10-14,38,EMP0164,5
103,16,2020-08-23,In Progress,,2024-10-14,27,EMP0759,
104,24,2022-10-12,Completed,2024-10-11,2024-10-14,69,EMP0125,
105,17,2021-01-28,In Progress,,2024-10-14,3,EMP0873,3
106,17,2020-01-21,Completed,2023-04-16,2024-10-14,92,EMP0354,
107,35,2023-10-29,Completed,2024-04-06,2024-10-14,76,EMP0460,
108,23,2024-09-19,Completed,2024-10-02,2024-10-14,89,EMP0449,6
109,39,2022-04-06,Completed,2023-02-02,2024-10-14,66,EMP0849,2
110,25,2019-11-19,In Progress,,2024-10-14,36,EMP0695,
111,28,2021-07-14,Completed,2024-04-24,2024-10-14,94,EMP0992,4
112,29,2024-09-05,Completed,2024-10-06,2024-10-14,94,EMP0185,
113,26,2021-05-27,In Progress,,2024-10-14,37,EMP0338,
114,46,2021-04-08,Completed,2022-05-10,2024-10-14,62,EMP0135,5
115,9,2023-08-02,Completed,2024-05-04,2024-10-14,83,EMP0496,8
116,5,2020-05-16,In Progress,,2024-10-14,35,EMP0316,8
117,32,2022-06-05,Completed,2024-04-21,2024-10-14,81,EMP0335,6
118,19,2020-07-15,In Progress,,2024-10-14,18,EMP0744,7
119,17,2021-11-27,In Progress,,2024-10-14,34,EMP0477,5
120,14,2023-06-14,In Progress,,2024-10-14,38,EMP0469,
121,28,2022-11-12,In Progress,,2024-10-14,4,EMP0743,
122,38,2021-07-01,Completed,2024-03-14,2024-10-14,90,EMP0805,9
123,9,2020-03-01,Completed,2021-04-06,2024-10-14,98,EMP0427,
124,8,2020-04-08,Completed,2020-05-20,2024-10-14,82,EMP0384,1
125,22,2020-08-09,Completed,2023-06-18,2024-10-14,52,EMP0168,
126,37,2020-10-04,Completed,2021-07-31,2024-10-14,61,EMP0902,
127,19,2020-04-03,Completed,2023-10-10,2024-10-14,65,EMP0304,
128,9,2023-11-03,In Progress,,2024-10-14,17,EMP0363,
129,7,2021-06-10,In Progress,,2024-10-14,46,EMP0587,6
130,23,2024-05-04,Completed,2024-07-17,2024-10-14,90,EMP0703,
131,8,2021-11-21,Completed,2023-02-18,2024-10-14,75,EMP0882,4
132,37,2020-10-15,Completed,2022-08-12,2024-10-14,55,EMP0410,
133,28,2021-06-07,Completed,2024-08-01,2024-10-14,94,EMP0093,
134,48,2022-05-13,Completed,2024-04-17,2024-10-14,52,EMP0398,
135,7,2019-10-17,Completed,2024-05-04,2024-10-14,98,EMP0474,
136,9,2021-11-14,Completed,2022-06-14,2024-10-14,98,EMP0020,6
137,1,2023-03-07,In Progress,,2024-10-14,3,EMP0419,
138,49,2023-04-25,In Progress,,2024-10-14,43,EMP0345,5
139,18,2021-07-14,In Progress,,2024-10-14,26,EMP0533,6
140,33,2023-02-18,In Progress,,2024-10-14,49,EMP0210,
141,24,2021-06-26,Completed,2023-05-18,2024-10-14,55,EMP0435,4
142,7,2020-06-22,Completed,2023-12-03,2024-10-14,81,EMP0824,10
143,48,2022-10-19,Completed,2022-12-04,2024-10-14,52,EMP0760,
144,2,2024-03-08,In Progress,,2024-10-14,47,EMP0142,9
145,39,2023-12-03,In Progress,,2024-10-14,37,EMP0597,8
146,12,2022-12-29,In Progress,,2024-10-14,2,EMP0584,1
147,14,2021-10-23,In Progress,,2024-10-14,11,EMP0189,
148,33,2024-09-06,In Progress,,2024-10-14,6,EMP0082,3
149,40,2020-06-18,Completed,2022-12-13,2024-10-14,87,EMP0289,8
150,27,2020-11-15,In Progress,,2024-10-14,17,EMP0384,10
151,15,2022-10-19,Completed,2024-01-27,2024-10-14,78,EMP0921,
152,40,2022-10-03,In Progress,,2024-10-14,20,EMP0696,8
153,40,2020-06-30,Completed,2021-01-03,2024-10-14,51,EMP0256,10
154,1,2020-06-10,Completed,2021-02-10,2024-10-14,96,EMP0201,
155,32,2020-11-16,Completed,2023-07-05,2024-10-14,72,EMP0440,5
156,23,2021-05-15,Completed,2021-07-08,2024-10-14,60,EMP0705,10
157,11,2020-09-29,Completed,2022-10-18,2024-10-14,55,EMP0035,
158,1,2024-05-24,Completed,2024-07-12,2024-10-14,71,EMP0227,9
159,32,2024-05-05,Completed,2024-10-04,2024-10-14,65,EMP0525,5
160,39,2022-09-19,In Progress,,2024-10-14,17,EMP0391,2
161,47,2019-10-28,Completed,2021-09-08,2024-10-14,50,EMP0234,6
162,12,2023-12-21,Completed,2024-06-15,2024-10-14,90,EMP0498,7
163,47,2024-05-04,In Progress,,2024-10-14,2,EMP0865,
164,35,2020-10-06,Completed,2023-03-17,2024-10-14,55,EMP0958,
165,14,2022-01-04,In Progress,,2024-10-14,32,EMP0843,
166,19,2024-03-28,Completed,2024-07-20,2024-10-14,92,EMP0363,1
167,1,2023-03-12,Completed,2023-04-17,2024-10-14,83,EMP0799,
168,27,2022-07-30,Completed,2023-11-15,2024-10-14,95,EMP0929,
169,4,2022-01-08,In Progress,,2024-10-14,47,EMP0550,6
170,37,2021-07-24,In Progress,,2024-10-14,44,EMP0568,
171,34,2022-11-20,Completed,2024-05-16,2024-10-14,75,EMP0099,
172,44,2020-04-01,Completed,2024-03-05,2024-10-14,56,EMP0126,
173,6,2023-12-18,Completed,2024-06-11,2024-10-14,69,EMP0802,7
174,9,2019-11-16,In Progress,,2024-10-14,5,EMP0344,4
175,13,2022-09-17,Completed,2024-09-15,2024-10-14,64,EMP0003,9
176,11,2021-06-03,In Progress,,2024-10-14,14,EMP0860,
177,23,2022-06-08,In Progress,,2024-10-14,18,EMP0806,
178,21,2024-05-04,In Progress,,2024-10-14,41,EMP0319,8
179,35,2021-09-01,In Progress,,2024-10-14,49,EMP0409,6
180,25,2020-08-28,In Progress,,2024-10-14,15,EMP0955,
181,26,2022-03-08,Completed,2022-11-04,2024-10-14,77,EMP0675,
182,45,2021-04-14,In Progress,,2024-10-14,13,EMP0694,2
183,50,2020-06-26,In Progress,,2024-10-14,45,EMP0209,
184,39,2020-11-29,In Progress,,2024-10-14,31,EMP0376,6
185,22,2019-11-15,Completed,2023-01-13,2024-10-14,60,EMP0091,
186,3,2022-04-08,In Progress,,2024-10-14,10,EMP0597,10
187,35,2020-07-13,Completed,2024-01-25,2024-10-14,64,EMP0146,2
188,28,2023-03-18,In Progress,,2024-10-14,40,EMP0532,
189,6,2024-09-12,Completed,2024-10-06,2024-10-14,63,EMP1000,
190,49,2022-08-19,In Progress,,2024-10-14,50,EMP0934,6
191,45,2024-02-29,Completed,2024-05-21,2024-10-14,58,EMP0492,3
192,15,2022-04-15,Completed,2022-05-16,2024-10-14,63,EMP0604,
193,17,2024-01-08,Completed,2024-05-17,2024-10-14,76,EMP0702,6
194,33,2024-03-03,Completed,2024-03-28,2024-10-14,96,EMP0044,2
195,23,2020-08-29,Completed,2023-01-20,2024-10-14,60,EMP0602,
196,19,2021-05-23,In Progress,,2024-10-14,16,EMP0491,8
197,31,2021-12-06,Completed,2022-11-26,2024-10-14,84,EMP0556,4
198,38,2021-09-20,In Progress,,2024-10-14,45,EMP0920,
199,20,2021-01-27,In Progress,,2024-10-14,4,EMP0658,10
200,3,2020-12-27,Completed,2021-03-01,2024-10-14,98,EMP0147,
201,3,2022-05-07,Completed,2022-07-13,2024-10-14,90,EMP0042,2
202,36,2021-08-05,In Progress,,2024-10-14,37,EMP0148,
203,1,2022-09-25,Completed,2024-07-17,2024-10-14,84,EMP0564,
204,35,2023-11-14,Completed,2024-02-26,2024-10-14,75,EMP0595,7
205,44,2024-08-26,In Progress,,2024-10-14,0,EMP0004,
206,19,2021-05-13,In Progress,,2024-10-14,11,EMP0270,
207,47,2021-08-03,Completed,2022-07-29,2024-10-14,66,EMP0819,1
208,39,2023-06-18,Completed,2024-04-06,2024-10-14,96,EMP0292,
209,24,2024-01-30,Completed,2024-07-24,2024-10-14,51,EMP0552,2
210,9,2021-04-18,In Progress,,2024-10-14,37,EMP0275,
211,43,2023-11-28,In Progress,,2024-10-14,20,EMP0108,
212,20,2020-12-25,Completed,2020-12-29,2024-10-14,82,EMP0524,9
213,25,2021-08-28,In Progress,,2024-10-14,19,EMP0599,7
214,33,2021-07-23,Completed,2023-10-23,2024-10-14,60,EMP0352,
215,7,2021-09-04,In Progress,,2024-10-14,21,EMP0756,1
216,43,2020-02-29,Completed,2022-12-31,2024-10-14,57,EMP0135,4
217,26,2022-04-28,In Progress,,2024-10-14,48,EMP0398,
218,42,2021-05-01,Completed,2024-06-25,2024-10-14,73,EMP0500,5
219,35,2020-06-14,In Progress,,2024-10-14,18,EMP0274,
220,20,2023-06-18,Completed,2024-09-23,2024-10-14,68,EMP0665,4
221,31,2020-11-16,In Progress,,2024-10-14,50,EMP0745,
222,20,2021-12-12,In Progress,,2024-10-14,24,EMP0221,
223,28,2024-10-11,In Progress,,2024-10-14,37,EMP0957,
224,31,2021-08-18,Completed,2023-12-16,2024-10-14,60,EMP0370,7
225,8,2020-06-11,Completed,2020-08-26,2024-10-14,96,EMP0622,10
226,5,2024-07-19,In Progress,,2024-10-14,37,EMP0742,4
227,21,2023-03-12,Completed,2023-11-23,2024-10-14,93,EMP0641,
228,20,2023-05-08,In Progress,,2024-10-14,5,EMP0855,
229,45,2023-04-29,In Progress,,2024-10-14,43,EMP0467,
230,29,2020-07-07,In Progress,,2024-10-14,33,EMP0470,9
231,2,2023-09-24,Completed,2024-06-04,2024-10-14,59,EMP0705,
232,39,2020-04-09,In Progress,,2024-10-14,38,EMP0121,
233,34,2020-08-05,Completed,2022-07-29,2024-10-14,53,EMP0133,5
234,19,2022-10-10,Completed,2023-01-22,2024-10-14,59,EMP0039,10
235,40,2024-07-15,In Progress,,2024-10-14,28,EMP0062,2
236,50,2023-03-25,In Progress,,2024-10-14,25,EMP0972,
237,1,2022-01-03,In Progress,,2024-10-14,44,EMP0471,
238,5,2023-10-18,Completed,2024-09-27,2024-10-14,62,EMP0142,
239,29,2024-05-07,In Progress,,2024-10-14,9,EMP0315,
240,27,2024-05-11,In Progress,,2024-10-14,40,EMP0701,
241,9,2020-02-27,In Progress,,2024-10-14,9,EMP0142,
242,13,2022-02-10,Completed,2024-05-25,2024-10-14,91,EMP0800,7
243,8,2023-12-31,Completed,2024-06-23,2024-10-14,54,EMP0409,4
244,14,2020-07-30,Completed,2023-04-26,2024-10-14,86,EMP0513,
245,37,2023-07-13,Completed,2024-04-29,2024-10-14,84,EMP0027,1
246,39,2020-11-26,In Progress,,2024-10-14,6,EMP0197,3
247,23,2021-06-07,Completed,2022-12-03,2024-10-14,99,EMP0399,6
248,3,2022-02-14,In Progress,,2024-10-14,20,EMP0047,
249,2,2021-09-08,In Progress,,2024-10-14,28,EMP0587,1
250,14,2023-11-16,In Progress,,2024-10-14,0,EMP0534,
251,31,2022-06-07,In Progress,,2024-10-14,0,EMP0970,
252,44,2020-07-02,In Progress,,2024-10-14,5,EMP0771,
253,40,2022-10-21,In Progress,,2024-10-14,23,EMP0447,
254,5,2023-01-15,In Progress,,2024-10-14,47,EMP0016,10
255,16,2020-10-25,Completed,2023-03-28,2024-10-14,52,EMP0319,10
256,11,2021-01-31,In Progress,,2024-10-14,28,EMP0529,9
257,19,2020-11-03,Completed,2023-09-13,2024-10-14,54,EMP0804,
258,10,2024-07-13,Completed,2024-08-11,2024-10-14,53,EMP0559,
259,16,2022-05-22,In Progress,,2024-10-14,14,EMP0014,10
260,32,2024-05-08,Completed,2024-05-24,2024-10-14,99,EMP0533,
261,9,2021-01-19,In Progress,,2024-10-14,35,EMP0909,
262,37,2023-05-05,In Progress,,2024-10-14,18,EMP0639,3
263,14,2024-01-06,In Progress,,2024-10-14,39,EMP0595,1
264,26,2024-06-13,In Progress,,2024-10-14,1,EMP0266,
265,43,2019-10-15,In Progress,,2024-10-14,13,EMP0120,
266,40,2020-06-09,Completed,2022-01-29,2024-10-14,94,EMP0736,5
267,16,2023-10-31,Completed,2024-06-30,2024-10-14,59,EMP0115,3
268,40,2023-12-03,Completed,2024-01-04,2024-10-14,53,EMP0435,
269,16,2019-12-20,Completed,2024-09-27,2024-10-14,81,EMP0255,8
270,20,2019-11-13,In Progress,,2024-10-14,5,EMP0048,1
271,9,2022-05-15,In Progress,,2024-10-14,25,EMP0026,
272,49,2022-12-06,In Progress,,2024-10-14,24,EMP0357,
273,43,2022-07-23,In Progress,,2024-10-14,47,EMP0001,1
274,7,2021-02-22,Completed,2021-12-22,2024-10-14,95,EMP0659,
275,11,2023-04-29,In Progress,,2024-10-14,24,EMP0774,
276,43,2024-05-07,In Progress,,2024-10-14,28,EMP0068,7
277,26,2020-08-03,Completed,2022-11-12,2024-10-14,83,EMP0673,
278,21,2023-11-14,Completed,2024-08-23,2024-10-14,50,EMP0841,9
279,17,2020-09-08,In Progress,,2024-10-14,31,EMP0977,
280,4,2024-01-05,Completed,2024-06-18,2024-10-14,92,EMP0949,
281,18,2021-11-17,In Progress,,2024-10-14,40,EMP0891,
282,45,2023-09-30,Completed,2024-01-15,2024-10-14,52,EMP0453,
283,43,2020-06-02,In Progress,,2024-10-14,27,EMP0010,
284,42,2024-08-02,In Progress,,2024-10-14,15,EMP0891,9
285,35,2021-05-21,In Progress,,2024-10-14,9,EMP0754,5
286,44,2020-08-28,In Progress,,2024-10-14,34,EMP0097,1
287,42,2024-06-30,Completed,2024-09-20,2024-10-14,88,EMP0803,4
288,29,2023-03-29,In Progress,,2024-10-14,2,EMP0761,7
289,24,2024-07-01,In Progress,,2024-10-14,6,EMP0399,10
290,16,2023-07-20,Completed,2024-03-06,2024-10-14,68,EMP0006,
291,44,2019-10-30,Completed,2024-04-07,2024-10-14,65,EMP0877,
292,15,2021-07-11,Completed,2022-11-14,2024-10-14,84,EMP0063,10
293,16,2022-08-23,In Progress,,2024-10-14,20,EMP0159,
294,44,2020-08-29,Completed,2021-01-19,2024-10-14,71,EMP0111,
295,4,2023-09-01,In Progress,,2024-10-14,15,EMP0986,
296,22,2023-07-19,Completed,2024-05-16,2024-10-14,55,EMP0579,6
297,36,2022-03-07,In Progress,,2024-10-14,32,EMP0487,
298,15,2024-06-25,Completed,2024-10-04,2024-10-14,81,EMP0991,10
299,3,2020-01-15,In Progress,,2024-10-14,48,EMP0776,
300,6,2021-09-22,In Progress,,2024-10-14,46,EMP0243,1
301,13,2021-11-18,Completed,2023-11-14,2024-10-14,70,EMP0169,2
302,2,2021-05-20,Completed,2023-10-14,2024-10-14,88,EMP0935,4
303,4,2023-07-17,In Progress,,2024-10-14,9,EMP0971,6
304,40,2021-04-11,In Progress,,2024-10-14,5,EMP0462,10
305,39,2022-01-02,In Progress,,2024-10-14,5,EMP0652,1
306,12,2022-11-19,In Progress,,2024-10-14,36,EMP0032,
307,28,2020-03-23,Completed,2021-09-03,2024-10-14,59,EMP0299,1
308,21,2021-11-18,In Progress,,2024-10-14,36,EMP0111,4
309,47,2021-05-07,In Progress,,2024-10-14,13,EMP0245,6
310,10,2020-03-25,Completed,2020-10-14,2024-10-14,57,EMP0108,7
311,24,2020-06-30,In Progress,,2024-10-14,50,EMP0782,
312,1,2024-07-14,Completed,2024-09-06,2024-10-14,100,EMP0766,2
313,9,2024-02-28,Completed,2024-09-26,2024-10-14,86,EMP0956,8
314,36,2021-11-07,In Progress,,2024-10-14,45,EMP0515,
315,26,2021-08-22,In Progress,,2024-10-14,4,EMP0873,
316,16,2024-03-30,In Progress,,2024-10-14,29,EMP0336,3
317,2,2024-09-14,Completed,2024-09-17,2024-10-14,90,EMP0091,4
318,43,2024-01-15,In Progress,,2024-10-14,3,EMP0338,6
319,27,2023-03-28,In Progress,,2024-10-14,17,EMP0251,
320,36,2020-05-14,Completed,2023-03-16,2024-10-14,60,EMP0180,8
321,20,2024-06-16,In Progress,,2024-10-14,38,EMP0346,
322,5,2020-04-25,In Progress,,2024-10-14,47,EMP0871,7
323,39,2021-07-28,Completed,2024-02-27,2024-10-14,94,EMP0198,
324,9,2022-02-04,Completed,2023-08-24,2024-10-14,70,EMP0364,7
325,33,2023-02-20,Completed,2024-03-11,2024-10-14,96,EMP0129,
326,14,2019-11-09,Completed,2024-01-17,2024-10-14,76,EMP0523,5
327,1,2019-11-06,In Progress,,2024-10-14,29,EMP0213,
328,48,2024-01-02,In Progress,,2024-10-14,15,EMP0484,
329,17,2024-01-05,In Progress,,2024-10-14,28,EMP0403,
330,8,2019-10-14,In Progress,,2024-10-14,11,EMP0754,2
331,40,2024-07-01,Completed,2024-08-24,2024-10-14,64,EMP0953,4
332,46,2023-09-29,In Progress,,2024-10-14,9,EMP0992,1
333,38,2022-06-19,In Progress,,2024-10-14,43,EMP0692,3
334,14,2023-02-22,Completed,2024-07-08,2024-10-14,74,EMP0593,2
335,21,2024-01-09,Completed,2024-09-01,2024-10-14,55,EMP0307,9
336,10,2020-12-17,Completed,2021-07-10,2024-10-14,89,EMP0928,2
337,10,2022-01-25,In Progress,,2024-10-14,39,EMP0755,10
338,32,2020-03-01,In Progress,,2024-10-14,22,EMP0084,3
339,5,2023-09-06,Completed,2023-09-15,2024-10-14,92,EMP0675,
340,14,2024-10-02,In Progress,,2024-10-14,18,EMP0505,2
341,4,2022-05-27,In Progress,,2024-10-14,11,EMP0507,3
342,49,2022-08-29,Completed,2022-09-17,2024-10-14,95,EMP0623,9
343,46,2023-01-29,Completed,2023-12-06,2024-10-14,54,EMP0672,
344,39,2023-10-19,In Progress,,2024-10-14,1,EMP0247,3
345,25,2020-12-02,In Progress,,2024-10-14,25,EMP0524,
346,33,2023-01-05,In Progress,,2024-10-14,11,EMP0176,8
347,23,2023-03-27,In Progress,,2024-10-14,40,EMP0105,1
348,15,2021-07-28,In Progress,,2024-10-14,31,EMP0699,
349,32,2023-07-31,Completed,2024-03-05,2024-10-14,98,EMP0673,1
350,36,2024-07-04,Completed,2024-10-04,2024-10-14,63,EMP0143,
351,8,2019-11-18,In Progress,,2024-10-14,28,EMP0333,
352,50,2024-06-30,In Progress,,2024-10-14,3,EMP0744,
353,25,2023-09-15,In Progress,,2024-10-14,18,EMP0816,1
354,20,2023-05-01,Completed,2024-07-23,2024-10-14,78,EMP0579,
355,49,2024-03-15,In Progress,,2024-10-14,10,EMP0268,5
356,37,2021-09-08,In Progress,,2024-10-14,38,EMP0238,
357,36,2019-10-26,In Progress,,2024-10-14,7,EMP0899,
358,6,2023-06-26,In Progress,,2024-10-14,6,EMP0386,
359,23,2024-05-13,Completed,2024-08-10,2024-10-14,91,EMP0422,7
360,16,2022-08-18,Completed,2024-08-04,2024-10-14,80,EMP0181,8
361,16,2020-07-12,Completed,2022-08-01,2024-10-14,60,EMP0038,2
362,26,2023-09-23,In Progress,,2024-10-14,32,EMP0167,6
363,26,2021-03-10,In Progress,,2024-10-14,10,EMP0012,
364,25,2021-06-23,In Progress,,2024-10-14,15,EMP0114,
365,16,2021-03-23,Completed,2023-02-13,2024-10-14,70,EMP0882,7
366,43,2022-05-09,In Progress,,2024-10-14,23,EMP0503,
367,21,2024-08-02,Completed,2024-09-24,2024-10-14,50,EMP0725,
368,39,2024-08-28,In Progress,,2024-10-14,39,EMP0128,2
369,8,2022-08-22,Completed,2024-03-29,2024-10-14,70,EMP0417,
370,26,2023-11-11,Completed,2024-07-24,2024-10-14,55,EMP0225,5
371,10,2021-05-08,Completed,2024-10-01,2024-10-14,67,EMP0039,
372,3,2021-02-18,Completed,2024-02-29,2024-10-14,69,EMP0536,
373,15,2023-02-26,In Progress,,2024-10-14,12,EMP0731,10
374,33,2024-03-29,Completed,2024-05-22,2024-10-14,99,EMP0616,
375,4,2024-01-23,In Progress,,2024-10-14,30,EMP0065,
376,11,2020-07-20,Completed,2022-04-15,2024-10-14,95,EMP0561,
377,19,2021-08-27,Completed,2023-07-17,2024-10-14,51,EMP0260,
378,1,2020-03-05,Completed,2024-07-10,2024-10-14,51,EMP0290,7
379,43,2023-10-17,In Progress,,2024-10-14,26,EMP0384,
380,27,2022-07-26,Completed,2023-05-17,2024-10-14,97,EMP0406,
381,2,2022-04-13,Completed,2023-04-24,2024-10-14,75,EMP0821,8
382,24,2022-05-23,Completed,2023-06-21,2024-10-14,90,EMP0689,
383,12,2024-02-05,Completed,2024-08-26,2024-10-14,62,EMP0998,3
384,39,2023-12-15,Completed,2024-05-06,2024-10-14,91,EMP0923,5
385,6,2023-05-23,Completed,2023-12-06,2024-10-14,86,EMP0586,
386,50,2024-08-19,In Progress,,2024-10-14,32,EMP0497,
387,44,2022-06-14,Completed,2024-06-14,2024-10-14,65,EMP0069,6
