enrollmentId,score,certificateLink
165,62.55,http://certificates.com/165
166,68.36,
167,93.92,
168,81.31,http://certificates.com/168
169,94.85,http://certificates.com/169
170,83.75,
171,72.29,http://certificates.com/171
172,99.74,http://certificates.com/172
173,94.42,http://certificates.com/173
174,89.84,http://certificates.com/174
175,71.73,
176,60.19,
177,96.59,
178,76.6,
179,63.83,http://certificates.com/179
180,77.21,http://certificates.com/180
181,77.92,http://certificates.com/181
182,63.54,http://certificates.com/182
183,76.64,http://certificates.com/183
184,83.46,http://certificates.com/184
185,71.3,
186,89.22,
187,68.14,
188,77.32,http://certificates.com/188
189,93.36,http://certificates.com/189
190,94.56,
191,89.31,
192,62.33,
193,73.5,
194,83.54,
195,72.0,http://certificates.com/195
196,99.85,
197,87.4,
198,88.74,http://certificates.com/198
199,67.71,
200,78.22,
201,76.41,
202,75.26,http://certificates.com/202
203,95.12,
204,69.1,http://certificates.com/204
205,97.74,http://certificates.com/205
206,95.36,
207,61.74,http://certificates.com/207
208,88.02,
209,91.04,http://certificates.com/209
210,96.66,http://certificates.com/210
211,99.19,http://certificates.com/211
212,85.34,
213,99.26,
214,88.49,http://certificates.com/214
215,89.71,http://certificates.com/215
216,74.74,
217,96.32,http://certificates.com/217
218,96.52,http://certificates.com/218
219,97.68,http://certificates.com/219
220,62.94,http://certificates.com/220
221,83.29,
222,63.47,
223,88.24,
224,86.28,http://certificates.com/224
225,60.79,http://certificates.com/225
226,97.96,http://certificates.com/226
227,81.92,http://certificates.com/227
228,73.93,
229,81.64,
230,72.85,http://certificates.com/230
231,84.15,
232,60.25,
233,79.4,
234,89.0,http://certificates.com/234
235,66.07,
236,76.33,http://certificates.com/236
237,65.53,http://certificates.com/237
238,81.82,http://certificates.com/238
239,61.19,
240,81.95,http://certificates.com/240
241,74.36,http://certificates.com/241
242,60.48,http://certificates.com/242
243,70.47,http://certificates.com/243
244,92.36,http://certificates.com/244
245,60.42,
246,99.46,
247,87.04,
248,60.6,
249,87.29,
250,73.43,
251,69.39,
252,74.46,http://certificates.com/252
253,79.94,http://certificates.com/253
254,83.31,
255,62.52,http://certificates.com/255
256,88.12,
257,99.43,http://certificates.com/257
258,73.15,http://certificates.com/258
259,72.78,
260,69.95,http://certificates.com/260
261,67.45,http://certificates.com/261
262,99.79,http://certificates.com/262
263,61.41,
264,70.17,http://certificates.com/264
265,83.29,
266,61.3,http://certificates.com/266
267,76.91,http://certificates.com/267
268,90.84,
269,71.44,
270,90.49,
271,74.09,
272,82.73,http://certificates.com/272
273,87.35,
274,68.72,
275,84.71,
276,73.83,http://certificates.com/276
277,92.67,http://certificates.com/277
278,61.72,
279,98.2,http://certificates.com/279
280,93.36,
281,93.81,http://certificates.com/281
282,68.24,
283,66.97,http://certificates.com/283
284,89.31,http://certificates.com/284
285,77.6,http://certificates.com/285
286,88.47,http://certificates.com/286
287,85.91,
288,70.94,http://certificates.com/288
289,82.77,http://certificates.com/289
290,65.0,
291,60.05,http://certificates.com/291
292,64.72,
293,90.97,
294,83.14,http://certificates.com/294
295,67.93,
296,79.25,http://certificates.com/296
297,73.86,
298,74.47,
299,97.14,
300,63.07,http://certificates.com/300
301,72.99,
302,78.87,
303,72.77,
304,68.1,http://certificates.com/304
305,80.91,
306,86.35,http://certificates.com/306
307,62.79,http://certificates.com/307
308,69.56,http://certificates.com/308
309,84.2,http://certificates.com/309
310,95.92,
311,90.84,
312,83.16,
313,98.83,http://certificates.com/313
314,73.82,http://certificates.com/314
315,81.89,
316,60.9,http://certificates.com/316
317,78.66,
318,93.62,http://certificates.com/318
319,79.26,
320,96.87,http://certificates.com/320
321,65.55,http://certificates.com/321
322,69.87,
323,93.15,
324,88.12,
325,80.77,http://certificates.com/325
326,77.16,
327,83.12,
328,86.68,
329,69.49,
330,70.91,
331,66.92,http://certificates.com/331
332,85.79,
333,93.73,http://certificates.com/333
334,62.93,
335,65.14,http://certificates.com/335
336,86.04,http://certificates.com/336
337,81.32,
338,92.19,
339,62.14,
340,89.03,
341,63.76,
342,69.03,
343,92.85,http://certificates.com/343
344,71.55,http://certificates.com/344
345,70.74,
346,85.53,
347,74.6,http://certificates.com/347
348,96.5,http://certificates.com/348
349,70.91,http://certificates.com/349
350,98.25,http://certificates.com/350
351,81.15,
352,88.59,http://certificates.com/352
353,63.34,http://certificates.com/353
354,68.31,http://certificates.com/354
355,65.56,http://certificates.com/355
356,93.03,
357,79.31,
358,61.01,http://certificates.com/358
359,91.1,http://certificates.com/359
360,86.71,
361,71.22,
362,71.67,
363,84.91,http://certificates.com/363
364,84.77,
365,92.83,http://certificates.com/365
366,87.6,http://certificates.com/366
367,73.79,
368,94.37,
369,85.33,
370,82.13,http://certificates.com/370
371,74.01,http://certificates.com/371
372,74.23,
373,76.62,http://certificates.com/373
374,60.49,
375,99.07,http://certificates.com/375
376,90.56,http://certificates.com/376
377,98.03,
378,95.98,http://certificates.com/378
379,66.35,http://certificates.com/379
380,89.02,http://certificates.com/380
381,79.56,http://certificates.com/381
382,98.27,
383,84.52,
384,75.24,http://certificates.com/384
385,80.68,
386,80.88,
387,70.48,http://certificates.com/387
388,90.89,http://certificates.com/388
389,90.58,http://certificates.com/389
390,99.51,http://certificates.com/390
391,80.25,
392,93.72,http://certificates.com/392
393,65.15,
394,95.23,
395,72.08,http://certificates.com/395
396,64.53,
397,67.22,http://certificates.com/397
398,83.03,
399,62.84,http://certificates.com/399
400,79.76,
401,68.23,http://certificates.com/401
402,99.73,http://certificates.com/402
403,67.97,
404,91.18,
405,67.7,http://certificates.com/405
406,95.21,
407,88.19,
408,82.6,http://certificates.com/408
409,84.82,
410,65.07,http://certificates.com/410
411,88.58,
412,89.41,http://certificates.com/412
413,80.95,http://certificates.com/413
414,69.12,http://certificates.com/414
415,65.75,
416,65.41,http://certificates.com/416
417,67.43,http://certificates.com/417
418,78.77,
419,92.06,
420,77.27,http://certificates.com/420
421,91.47,http://certificates.com/421
422,80.16,http://certificates.com/422
423,70.18,
424,92.27,
425,78.9,http://certificates.com/425
426,99.0,http://certificates.com/426
427,70.84,
428,72.98,http://certificates.com/428
429,67.97,
430,81.77,http://certificates.com/430
431,62.34,
432,90.87,http://certificates.com/432
433,92.65,http://certificates.com/433
434,67.72,
435,88.54,http://certificates.com/435
436,87.54,
437,64.43,http://certificates.com/437
438,93.99,http://certificates.com/438
439,86.47,http://certificates.com/439
440,96.8,http://certificates.com/440
441,87.66,
442,98.23,
443,75.64,
444,81.08,http://certificates.com/444
445,77.97,http://certificates.com/445
446,72.07,
447,70.36,
448,86.95,
449,69.99,
450,73.12,
451,88.74,http://certificates.com/451
452,87.65,http://certificates.com/452
453,82.65,
454,62.31,
455,76.4,
456,92.42,
457,72.01,
458,74.67,http://certificates.com/458
459,83.02,
460,87.75,
461,97.78,http://certificates.com/461
462,75.99,
463,92.22,
464,91.72,
465,82.04,
466,93.9,http://certificates.com/466
467,85.69,
468,94.29,http://certificates.com/468
469,79.97,
470,64.65,
471,96.68,
472,68.16,http://certificates.com/472
473,73.26,http://certificates.com/473
474,77.53,
475,78.7,
476,64.87,http://certificates.com/476
477,66.75,
478,65.18,http://certificates.com/478
479,70.05,http://certificates.com/479
480,94.08,
481,90.38,
482,63.22,
483,90.66,http://certificates.com/483
484,66.62,http://certificates.com/484
485,84.4,http://certificates.com/485
486,87.34,http://certificates.com/486
487,83.18,http://certificates.com/487
488,62.35,
489,99.6,
490,98.72,http://certificates.com/490
491,62.48,
492,61.43,http://certificates.com/492
493,92.52,
494,88.13,http://certificates.com/494
495,80.75,http://certificates.com/495
496,77.23,http://certificates.com/496
497,68.27,
498,73.58,http://certificates.com/498
499,75.54,
500,67.94,http://certificates.com/500
501,98.36,
502,86.94,
503,79.65,
504,65.14,
505,82.67,
506,68.83,http://certificates.com/506
507,90.27,
508,85.52,
509,75.33,
510,83.41,
511,92.53,http://certificates.com/511
512,82.83,
513,76.03,http://certificates.com/513
514,79.06,http://certificates.com/514
515,77.78,http://certificates.com/515
516,98.42,http://certificates.com/516
517,81.55,
518,62.77,http://certificates.com/518
519,69.16,
520,77.41,http://certificates.com/520
521,99.45,
522,85.67,http://certificates.com/522
523,81.53,http://certificates.com/523
524,77.77,http://certificates.com/524
525,76.09,
526,77.94,
527,60.82,http://certificates.com/527
528,69.42,http://certificates.com/528
529,95.65,
530,85.58,
531,65.86,http://certificates.com/531
532,88.68,
533,60.21,http://certificates.com/533
534,93.54,
535,61.96,
536,86.37,http://certificates.com/536
537,95.96,
538,75.03,
539,80.92,http://certificates.com/539
540,67.07,http://certificates.com/540
541,60.07,http://certificates.com/541
542,79.06,http://certificates.com/542
543,86.29,
544,63.72,
545,90.48,
546,75.34,
547,92.69,http://certificates.com/547
548,93.45,
549,67.88,http://certificates.com/549
550,75.38,
551,80.42,
552,73.89,http://certificates.com/552
553,65.43,
554,60.16,http://certificates.com/554
555,72.84,
556,88.28,
557,75.51,
558,91.93,
559,94.2,
560,71.29,http://certificates.com/560
561,77.73,http://certificates.com/561
562,66.11,
563,84.27,
564,68.27,
565,98.38,
566,91.55,
567,86.39,http://certificates.com/567
568,98.08,
569,74.29,
570,64.83,http://certificates.com/570
571,98.4,
572,71.81,http://certificates.com/572
573,65.22,
574,72.51,http://certificates.com/574
575,87.85,http://certificates.com/575
576,93.83,
577,99.24,
578,98.11,http://certificates.com/578
579,86.16,
580,91.76,
581,85.04,http://certificates.com/581
582,71.28,
583,97.09,http://certificates.com/583
584,60.51,http://certificates.com/584
585,61.75,
586,70.28,http://certificates.com/586
587,95.97,
588,99.44,http://certificates.com/588
589,90.19,http://certificates.com/589
590,68.75,
591,85.4,
592,77.23,http://certificates.com/592
593,63.83,http://certificates.com/593
594,73.1,
595,98.92,http://certificates.com/595
596,78.32,
597,97.37,http://certificates.com/597
598,73.77,
599,89.35,
600,73.37,http://certificates.com/600
601,62.7,
602,90.68,http://certificates.com/602
603,96.67,http://certificates.com/603
604,73.83,http://certificates.com/604
605,73.32,http://certificates.com/605
606,84.49,
607,68.0,
608,63.68,http://certificates.com/608
609,61.52,
610,99.82,http://certificates.com/610
611,74.62,
612,80.78,
613,84.69,
614,88.93,
615,96.44,
616,66.97,
617,82.96,http://certificates.com/617
618,65.78,
619,72.56,
620,67.36,
621,62.52,
622,84.03,http://certificates.com/622
623,93.58,
624,95.74,
625,72.37,
626,83.01,
627,63.08,http://certificates.com/627
628,64.42,http://certificates.com/628
629,86.24,
630,86.13,
631,92.32,http://certificates.com/631
632,63.01,
633,82.67,http://certificates.com/633
634,92.53,http://certificates.com/634
635,97.49,
636,85.14,http://certificates.com/636
637,60.5,
638,70.27,http://certificates.com/638
639,77.53,http://certificates.com/639
640,91.33,http://certificates.com/640
641,65.64,http://certificates.com/641
642,61.47,
643,92.52,
644,79.2,http://certificates.com/644
645,98.17,
646,89.56,
647,87.06,
648,80.03,http://certificates.com/648
649,84.68,http://certificates.com/649
650,63.64,
651,64.04,http://certificates.com/651
652,81.53,
653,80.87,http://certificates.com/653
654,67.46,http://certificates.com/654
655,96.81,
656,75.39,
657,72.69,
658,96.69,http://certificates.com/658
659,88.69,http://certificates.com/659
660,76.81,http://certificates.com/660
661,62.98,
662,76.11,http://certificates.com/662
663,70.45,
664,89.33,http://certificates.com/664
665,62.41,http://certificates.com/665
666,66.83,http://certificates.com/666
667,62.8,http://certificates.com/667
668,73.41,
669,77.19,
670,88.46,http://certificates.com/670
671,83.37,
672,89.0,http://certificates.com/672
673,67.06,
674,67.51,http://certificates.com/674
675,84.0,
676,66.91,http://certificates.com/676
677,80.9,http://certificates.com/677
678,63.87,http://certificates.com/678
679,76.55,http://certificates.com/679
680,63.59,
681,60.12,
682,99.61,http://certificates.com/682
683,88.42,
684,69.28,
685,65.0,http://certificates.com/685
686,80.61,
687,74.94,http://certificates.com/687
688,60.36,http://certificates.com/688
689,66.46,http://certificates.com/689
690,79.89,http://certificates.com/690
691,65.8,
692,60.61,
693,80.51,http://certificates.com/693
694,84.46,
695,90.78,http://certificates.com/695
696,84.47,
697,60.24,
698,80.19,http://certificates.com/698
699,68.72,http://certificates.com/699
700,90.71,
701,87.88,http://certificates.com/701
702,60.1,http://certificates.com/702
703,71.01,
704,62.73,http://certificates.com/704
705,68.83,
706,60.19,
707,61.6,http://certificates.com/707
708,98.49,http://certificates.com/708
709,86.33,http://certificates.com/709
710,78.24,
711,63.67,http://certificates.com/711
712,87.94,
713,84.44,
714,90.18,http://certificates.com/714
715,76.67,http://certificates.com/715
716,84.81,
717,89.85,http://certificates.com/717
718,63.15,
719,63.57,http://certificates.com/719
720,77.31,
721,88.35,http://certificates.com/721
722,82.89,
723,72.3,
724,92.39,http://certificates.com/724
725,85.15,
726,74.56,
727,80.41,http://certificates.com/727
728,82.78,
729,85.31,http://certificates.com/729
730,65.85,
731,65.95,http://certificates.com/731
732,69.37,
733,76.59,http://certificates.com/733
734,61.78,
735,60.89,
736,77.35,http://certificates.com/736
737,61.64,http://certificates.com/737
738,84.75,
739,73.48,
740,93.62,http://certificates.com/740
741,85.85,http://certificates.com/741
742,75.82,
743,64.62,http://certificates.com/743
744,88.47,http://certificates.com/744
745,68.87,
746,84.01,http://certificates.com/746
747,84.17,http://certificates.com/747
748,90.23,http://certificates.com/748
749,75.56,
750,98.43,http://certificates.com/750
751,99.58,
752,66.77,http://certificates.com/752
753,81.9,http://certificates.com/753
754,64.05,http://certificates.com/754
755,99.5,
756,84.08,
757,91.05,
758,79.92,http://certificates.com/758
759,80.79,http://certificates.com/759
760,82.82,
761,98.42,http://certificates.com/761
762,78.65,http://certificates.com/762
763,70.75,http://certificates.com/763
764,75.16,
765,81.29,
766,97.56,http://certificates.com/766
767,67.53,http://certificates.com/767
768,69.73,http://certificates.com/768
769,76.4,
770,71.84,
771,61.95,http://certificates.com/771
772,92.33,http://certificates.com/772
773,98.08,
774,71.42,
775,90.88,
776,86.58,
777,70.41,
778,91.11,
779,77.2,
780,95.92,http://certificates.com/780
781,72.84,http://certificates.com/781
782,95.67,http://certificates.com/782
783,82.47,
784,66.02,http://certificates.com/784
785,61.31,
786,82.07,http://certificates.com/786
787,62.07,
788,87.03,
789,89.77,http://certificates.com/789
790,61.25,
791,85.83,http://certificates.com/791
792,79.38,
793,84.71,http://certificates.com/793
794,93.07,
795,62.65,
796,98.46,http://certificates.com/796
797,93.34,
798,67.12,
799,84.98,http://certificates.com/799
800,78.13,http://certificates.com/800
801,93.07,
802,89.53,
803,88.87,
804,61.44,
805,73.34,http://certificates.com/805
806,94.97,
807,83.25,http://certificates.com/807
808,63.71,http://certificates.com/808
809,71.58,
810,85.09,
811,69.52,
812,95.87,http://certificates.com/812
813,86.28,
814,81.49,
815,89.96,
816,61.66,
817,74.52,
818,71.89,
819,69.3,
820,88.04,http://certificates.com/820
821,65.22,
822,70.63,
823,70.52,http://certificates.com/823
824,70.22,
825,71.33,
826,60.6,http://certificates.com/826
827,85.71,http://certificates.com/827
828,74.22,http://certificates.com/828
829,64.54,
830,61.61,
831,84.37,
832,78.14,
833,77.57,
834,88.68,http://certificates.com/834
835,90.95,http://certificates.com/835
836,75.19,
837,81.47,http://certificates.com/837
838,71.08,http://certificates.com/838
839,97.06,
840,71.26,
841,78.54,
842,96.43,
843,86.81,
844,67.62,
845,67.64,http://certificates.com/845
846,93.47,
847,77.45,
848,93.32,http://certificates.com/848
849,64.04,
850,62.0,
851,64.43,http://certificates.com/851
852,66.38,http://certificates.com/852
853,98.1,http://certificates.com/853
854,80.11,
855,72.73,http://certificates.com/855
856,97.61,
857,89.57,
858,85.07,http://certificates.com/858
859,97.44,
860,65.88,
861,65.79,http://certificates.com/861
862,87.0,
863,77.77,
864,68.41,
865,65.46,
866,75.97,http://certificates.com/866
867,60.65,
868,68.34,http://certificates.com/868
869,71.96,http://certificates.com/869
870,89.12,
871,92.75,
872,95.68,http://certificates.com/872
873,75.12,http://certificates.com/873
874,63.11,http://certificates.com/874
875,73.88,
876,91.66,
877,67.75,http://certificates.com/877
878,79.75,http://certificates.com/878
879,62.76,
880,92.47,
881,94.92,http://certificates.com/881
882,89.23,http://certificates.com/882
883,70.1,http://certificates.com/883
884,96.99,http://certificates.com/884
885,61.43,
886,63.07,
887,74.26,http://certificates.com/887
888,71.54,
889,65.76,
890,66.43,
891,96.72,
892,69.84,
893,78.69,
894,93.23,http://certificates.com/894
895,74.04,
896,99.25,http://certificates.com/896
897,69.67,
898,97.4,
899,76.96,http://certificates.com/899
900,77.38,http://certificates.com/900
901,64.99,
902,93.56,http://certificates.com/902
903,77.84,
904,95.79,
905,73.02,http://certificates.com/905
906,60.49,
907,83.32,
908,67.7,
909,85.87,http://certificates.com/909
910,71.81,
911,73.86,http://certificates.com/911
912,91.57,
913,77.03,
914,66.63,
915,89.74,
916,74.41,
917,88.53,
918,90.88,
919,95.78,
920,60.27,
921,64.74,
922,85.27,http://certificates.com/922
923,93.88,http://certificates.com/923
924,81.95,
925,68.62,http://certificates.com/925
926,75.1,
927,97.05,
928,85.77,http://certificates.com/928
929,95.27,http://certificates.com/929
930,70.7,http://certificates.com/930
931,80.76,http://certificates.com/931
932,96.39,
933,73.43,http://certificates.com/933
934,70.54,
935,78.24,
936,73.38,http://certificates.com/936
937,99.2,
938,89.8,http://certificates.com/938
939,99.32,http://certificates.com/939
940,71.7,
941,87.01,http://certificates.com/941
942,83.64,http://certificates.com/942
943,85.3,http://certificates.com/943
944,62.98,http://certificates.com/944
945,82.91,http://certificates.com/945
946,77.91,http://certificates.com/946
947,80.35,
948,66.45,http://certificates.com/948
949,97.35,http://certificates.com/949
950,91.04,
951,84.0,
952,80.62,http://certificates.com/952
953,77.06,
954,85.27,
955,76.69,http://certificates.com/955
956,60.82,http://certificates.com/956
957,99.14,
958,71.29,http://certificates.com/958
959,81.87,http://certificates.com/959
960,68.02,http://certificates.com/960
961,75.07,
962,63.57,http://certificates.com/962
963,92.59,
964,80.37,http://certificates.com/964
965,63.03,http://certificates.com/965
966,67.59,
967,77.45,http://certificates.com/967
968,98.84,
969,79.6,http://certificates.com/969
970,73.15,http://certificates.com/970
971,67.89,http://certificates.com/971
972,88.02,
973,72.18,
974,74.86,http://certificates.com/974
975,63.73,http://certificates.com/975
976,85.27,http://certificates.com/976
977,75.53,
978,81.01,http://certificates.com/978
979,72.29,
980,98.76,http://certificates.com/980
981,87.26,
982,99.49,
983,76.84,
984,94.17,http://certificates.com/984
985,78.24,
986,67.79,
987,98.45,http://certificates.com/987
988,79.73,http://certificates.com/988
989,78.62,
990,71.89,
991,64.26,http://certificates.com/991
992,79.3,http://certificates.com/992
993,81.44,http://certificates.com/993
994,96.71,http://certificates.com/994
995,66.93,
996,91.82,http://certificates.com/996
997,73.8,http://certificates.com/997
998,83.44,http://certificates.com/998
999,98.48,
1000,67.97,
